first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Alfred,Michalak,KS/312734/2016,2016-08-06T00:00:00,"6 218,0",KSI GOWOå∆   ,0
Natalia,Woüniak,OC/780526/2011 ,2011-07-14,3075.82,OCHRONA,nie
Dariusz,Wasilewski,CZ/352117/2015,2015-11-30,2551.4500000000003 ,CZYSTOå∆,Prawda
Lucjan,Majewski,LO/124294/2013 ,2013-09-21,3672.7020000000007,LOGISTYKA,PRAWDA
Mariusz,Wasilewski,MA/361076/2018,2018-05-18,3934.4,MARKETING,
w≥odzimierz,zajπc,MA/540348/2012,2012-05-09 ,4122.976000000001,MARKETING,ma
Stanis≥awa,Majewska,SP/287222/2015,2015-05-14,3762.8999999999996,SPRZEDAØ,false
Zenon,Kaümierczak ,SP/277627/2017,2017-01-03,5157.0,SPRZEDAØ,Fa≥sz
Ma≥gorzata,,OC/673621/2011,2011-10-22,3515.82,OCHRONA,Nie  
Zygmunt,sikorski,SP/595867/2015,2015/02/03,5054.85,SPRZEDAØ ,NIE MA
Rafa≥,Michalak ,MA/429634/2014,2014-09-06,6056.160000000001,MARKETING,
Jerzy,Laskowski,LO/893712/2018,,3774.6000000000004,LOGISTYKA,NIE
Franciszek,Paw≥owski,SP/757805/2010,2010-11-06T00:00:00,3942.0,SPRZEDAØ,Fa≥sz
Monika,paw≥owska,MA/685333/2015,2015/07/03,4303.68,MARKETING,False
jerzy,Kubiak,SP/768555/2016,2016-04-28,5073.0,SPRZEDAØ,NIE MA
Miros≥awa,Piotrowska,SP/435339/2012,2012-06-28T00:00:00,4866.0,SPRZEDAØ,NIE
Krzysztof,ZiÛ≥kowski,MA/257597/2009,2009-08-13,4000.6400000000003,MARKETING ,NIE MA
BARBARA,Rutkowska,LO/638937/2010,2010-11-06,4534.447500000001,LOGISTYKA,true
,WrÛbel,LO/581462/2009,2009/08/13,4643.595000000001,LOGISTYKA,PRAWDA
czes≥aw,Soko≥owski,MA/211034/2016,2016-04-28 ,5086.72,MARKETING,False
Boøena  ,olszewska,LO/213625/2012,2012/08/17,"3 281,31",LOGISTYKA,NIE
Honorata,Adamczyk,CZ/508024/2009,2009-10-02,3273.6000000000004,CZYSTOå∆,tak
Leokadia,KamiÒska,CZ/900667/2009,2009/06/24,2691.7000000000003,CZYSTOå∆,TAK
Bernard,Grabowski,MA/462487/2010,2010-06-09 ,3982.4 ,MARKETING,false
joanna  ,Nowakowska,LO/717339/2016,2016-01-19,5044.990500000001,LOGISTYKA,Tak
£ucja,Jankowska,KA/832289/2015,2015-03-25,3597.705,KADRY,false
S≥awomir,Makowski,LO/247647/2011 ,2011-12-11,3553.2000000000003,LOGISTYKA,nie
Bogus≥awa,Szewczyk,CZ/303904/2013,2013-09-21T00:00:00  ,2682.0,CZYSTOå∆,0
Rafa≥ ,Walczak,KS/718331/2017,2017/09/10 ,4942.0,KSI GOWOå∆,false
LEON,Jab≥oÒski,MA/614269/2011,2011-02-14  ,"3 912,0",MARKETING,NIE MA
Halina  ,Nowicka ,CZ/871037/2011,2011-05-25T00:00:00,2418.0,CZYSTOå∆ ,0
danuta,KOWALCZYK,MA/693756/2015,2015-08-22,4230.400000000001,MARKETING,NIE
Jerzy,Ostrowski,MA/842413/2010,,4401.760000000001,MARKETING,PRAWDA
Julian,ADAMSKI,KA/109442/2018,2018-03-29T00:00:00 ,"3 998,2250000000004",KADRY,Tak
Wac≥awa,Grabowska,LO/606750/2009,2009-10-02,"5 194,381500000001",LOGISTYKA,ma
Edyta,KrÛl,KS/194627/2016 ,2016/03/09,"6 301,900000000001",KSI GOWOå∆,1
Robert,Mazur,MA/542590/2010 ,2010-06-09,3944.0,MARKETING,false
Beata,Dudek,KS/264379/2015,2015-10-11,"5 764,000000000001",KSI GOWOå∆,Tak
Artur,WrÛbel,KS/719549/2017,2017-01-03T00:00:00,5834.0,KSI GOWOå∆,nie
RÛøa,Majewska,MA/502295/2010,2010-07-29T00:00:00,"3 641,6000000000004",MARKETING,False
Artur,G£OWACKI,MA/889393/2014,2014-07-18,5809.760000000001,MARKETING,tak
,Jab≥oÒska,SP/732412/2014,2014-12-15T00:00:00,4656.3  ,SPRZEDAØ,ma
Bernard,Wojciechowski,MA/967526/2014,2014-12-15,"5 385,952",MARKETING ,MA
Katarzyna,JASI—SKA,OC/904404/2015,2015-07-03,2634.5,OCHRONA,NIE MA
leszek,Koz≥owski,KA/536262/2016,2016/01/19,3348.0 ,KADRY,FA£SZ
Justyna,gÛrska,CZ/848528/2016,2016-09-25 ,3145.4500000000003 ,CZYSTOå∆,tak 
Czes≥awa,Rutkowska,MA/705760/2018,2018-02-07,3949.4400000000005,MARKETING,1
Renata  ,Zajπc,CZ/535904/2015,2015-05-14,3045.0,CZYSTOå∆,nie ma
Stanis≥aw,kucharski,KA/872506/2014,2014/07/18,"4 039,3",KADRY,nie
Danuta,KRAWCZYK,KS/497717/2013,2013-06-13,6487.6,KSI GOWOå∆,Fa≥sz
ALICJA ,sikora,KS/742779/2014,2014-05-29  ,4783.460000000001,KSI GOWOå∆,ma
Aniela,Woüniak,SP/250751/2013,2013-03-05,4272.0,SPRZEDAØ,NIE MA
Edmund,zawadzki,SP/243945/2018,2018-05-18,3821.3999999999996  ,SPRZEDAØ,Fa≥sz
GRZEGORZ,Pietrzak,SP/902816/2011,2011-07-14,4335.54 ,SPRZEDAØ,ma
Aleksandra ,Jankowska,CZ/320780/2010 ,2010-09-17,2607.0,CZYSTOå∆,FA£SZ
Antoni,KrÛl,KA/254417/2013,2013-06-13,4528.015,KADRY ,Nie
Stanis≥awa  ,wÛjcik,KS/542426/2013,2013-04-24,4420.0,KSI GOWOå∆,nie
Mariola,Krawczyk,LO/508507/2018,2018-07-07,"3 690,7650000000003",LOGISTYKA,Nie
Wies≥awa,wiúniewska,KA/414663/2011,2011-09-02T00:00:00  ,4845.455,KADRY,False
Bronis≥awa,KWIATKOWSKA,KS/916132/2012,2012-10-06,5500.2 ,KSI GOWOå∆,NIE MA
Karol,Kwiatkowski,ZA/477393/2016,2016-09-25,501220.50000000006,ZARZ•D,PRAWDA
joanna,Walczak,MA/921908/2017,2017-09-10T00:00:00 ,5344.0,MARKETING,Fa≥sz
Natalia,JANKOWSKA,KS/515248/2015 ,2015-11-30T00:00:00,6407.2,KSI GOWOå∆,0
Jan,Chmielewski,LO/213062/2010,2010/11/06,4003.9650000000006,LOGISTYKA,NIE MA
Krystyna,NOWICKA,OC/500771/2011  ,2011-02-14,2401.3,OCHRONA,nie ma
Mariusz ,Bπk,KS/406005/2016,2016-03-09,5258.44 ,KSI GOWOå∆,True
Cecylia,Nowak ,SP/492929/2014,2014-10-26  ,3826.7999999999997,SPRZEDAØ,Fa≥sz
Eleonora  ,ZieliÒska,CZ/703307/2018,2018-05-18T00:00:00,3228.06,CZYSTOå∆,ma
HENRYK,Piotrowski,CZ/193717/2017,2017-09-10,3154.0,CZYSTOå∆,0
Mariusz ,Sawicki,SP/544974/2013,  ,3352.5,SPRZEDAØ,Nie
FRANCISZEK,urbaÒski,OC/652138/2011,2011-12-11,2509.1000000000004,OCHRONA,nie
JOLANTA,ZieliÒska,MA/675116/2017,2017-12-19,5001.12,,0
Bogumi≥a ,Michalska,SP/811454/2016 ,2016-06-17,4463.25,SPRZEDAØ,Tak
Jan,szulc ,MA/865287/2011,2011-12-11,4316.0,MARKETING,NIE MA
hanna,WÛjcik,IT/639110/2013 ,2013-09-21,8742.5,IT,False
Dariusz,Piotrowski,CZ/904614/2011,2011-10-22,3152.05,CZYSTOå∆,PRAWDA
Regina,,CZ/992133/2016,2016-01-19,3830.2000000000003,CZYSTOå∆,Prawda
krzysztof   ,WIåNIEWSKI,MA/917822/2012,2012-03-20T00:00:00,5552.0,MARKETING,FA£SZ
TERESA,MALINOWSKA  ,ZA/417721/2014,2014-10-26,84592.5,ZARZ•D,NIE MA
Ryszard,Grabowski,SP/795680/2013,2013/12/30,4702.5 ,SPRZEDAØ,NIE
Aldona,WÛjcik,MA/400752/2014,2014-07-18  ,"4 797,760000000001",MARKETING,Prawda
FRANCISZKA,dudek,MA/670186/2010,2010-07-29,"5 932,608000000001",MARKETING,true 
Marek,Kucharski,IT/906794/2009,2009-06-24,6732.5,IT ,FA£SZ
,Marciniak,KS/219254/2017 ,2017-04-13,6916.0,KSI GOWOå∆,False
Bernard,Koz≥owski,SP/948723/2012,2012-11-25,4482.15,SPRZEDAØ,Nie
Marian,Rutkowski,IT/555608/2018,2018-08-26T00:00:00,7845.0,IT ,False
Rafa≥,ZiÛ≥kowski,SP/447517/2014,2014-05-29T00:00:00,4381.410000000001,SPRZEDAØ,1
Agnieszka,Pawlak,ZA/684481/2018,2018-03-29,67223.75,ZARZ•D,PRAWDA
Robert ,Pawlak,KS/394753/2009,2009-11-21,"6 035,8",KSI GOWOå∆,NIE
,ADAMCZYK,LO/740402/2011,2011/12/11  ,2959.47,LOGISTYKA,NIE
stanis≥aw,Jakubowski ,LO/211959/2010,2010-12-26,4180.950000000001,LOGISTYKA,nie ma 
Micha≥,Grabowski,MA/963198/2018,,4616.4800000000005,MARKETING,1
ANETA,Nowicka,LO/908730/2015,2015-10-11T00:00:00  ,3902.0400000000004,LOGISTYKA,false
Marcin,Kowalczyk,LO/660666/2009 ,2009-06-24 ,4442.85,LOGISTYKA,Fa≥sz
JÛzefa,Nowicka,SP/505945/2013,2013-04-24,3667.9500000000003,SPRZEDAØ,TAK
Beata,Witkowska,CZ/107981/2014,2014-04-09,3119.6000000000004,CZYSTOå∆ ,True
karol,Szewczyk,LO/828138/2016,2016-03-09,2847.15  ,LOGISTYKA,Nie
S≥awomir,Dπbrowski,KS/160082/2015,2015-05-14T00:00:00,5341.6,KSI GOWOå∆,Tak
Karolina,Witkowska,LO/870777/2010,2010-04-20  ,4317.165,LOGISTYKA,
franciszka,piotrowska,SP/206376/2014 ,2014-09-06T00:00:00,4588.485000000001,SPRZEDAØ,ma
Lucyna,Tomaszewska,OC/687497/2017,2017-04-13,2568.5,OCHRONA  ,Nie
Bogus≥awa,Dπbrowska,KA/935993/2014,2014/12/15 ,4622.1 ,KADRY,FA£SZ
MIECZYS£AW,Jab≥oÒski,LO/244046/2011,2011/07/14,"4 511,835",LOGISTYKA,NIE MA
Julian,Jaworski,MA/327203/2016,2016-04-28,"3 705,6000000000004",MARKETING,nie
Wac≥aw,Krupa,MA/313932/2018,2018-03-29,3513.6000000000004,MARKETING,nie
Daniela,ZieliÒska,KA/881232/2016,2016-03-09,5115.0,KADRY,  
Eugeniusz,Zajπc,MA/360426/2015,2015/07/03,5460.64,MARKETING,false
Adam,D•BROWSKI,SP/993985/2016,2016-04-28T00:00:00,"5 049,299999999999",SPRZEDAØ,false
Ma≥gorzata,Krawczyk,MA/116320/2011,2011-10-22T00:00:00,5500.8,MARKETING,nie ma
rafa≥,Jankowski,LO/296178/2012,,"3 194,1000000000004",LOGISTYKA,false
Iwona,Sikora,SP/568245/2013,2013-01-14,3599.5499999999997,SPRZEDAØ,NIE
Gabriela,Kwiatkowska,MA/172253/2016,2016-09-25,3763.52,MARKETING,Fa≥sz
micha≥,wiúniewski,LO/117735/2012,2012/06/28,2876.8500000000004,LOGISTYKA,false
Aniela,WrÛblewska,KS/743287/2012,2012-03-20 ,6582.400000000001,KSI GOWOå∆,true
Aneta,KamiÒska,LO/469644/2018,2018/03/29,3276.9900000000002,LOGISTYKA,NIE MA 
Cecylia,Majewska,KA/823376/2011,2011-09-02 ,"4 997,2",KADRY,Fa≥sz
Miros≥aw,Pietrzak  ,LO/248737/2012,2012-03-20T00:00:00,3671.8650000000002,LOGISTYKA,NIE
Julian,Tomaszewski,MA/309998/2009,2009-11-21 ,4228.64,MARKETING,NIE     
JULIAN,StÍpieÒ,ZA/976583/2016,2016-08-06T00:00:00,77236.5,ZARZ•D,1
julian,Dudek,SP/747236/2015,2015-11-30,"5 135,295000000001",SPRZEDAØ ,Tak
BRONIS£AW,SzczepaÒski ,LO/198385/2018,2018-05-18,5187.1050000000005,LOGISTYKA,TAK
Alina,Zajπc,OC/968136/2015 ,2015-10-11,3279.1000000000004,OCHRONA,Nie
Zygmunt ,krupa,SP/249254/2010,2010/04/20 ,"3 647,25",SPRZEDAØ,NIE MA
Danuta,KWIATKOWSKA,LO/246919/2016,2016-06-17T00:00:00,4814.5185,LOGISTYKA,Tak
Janusz,WASILEWSKI,LO/807804/2015,2015-03-25,3125.925,LOGISTYKA,True
Agata,Dπbrowska,KA/896021/2014,2014-02-18,3788.2000000000003,KADRY,FA£SZ
Kazimiera    ,woüniak,SP/245923/2012,2012-03-20,"5 590,53",SPRZEDAØ,PRAWDA
Halina,WÛjcik,CZ/656545/2017,2017/07/22,3463.0  ,CZYSTOå∆,NIE
Helena,Kowalczyk,LO/223079/2009,2009-08-13,5145.079500000001,LOGISTYKA,PRAWDA
Tomasz,Krajewski,LO/761991/2012,2012-10-06,3586.9500000000003,LOGISTYKA,FA£SZ
Edyta,KamiÒska ,CZ/532691/2012 ,2012-06-28,2721.4,CZYSTOå∆,Tak
LEON,KAèMIERCZAK,KS/232289/2013,2013-08-02T00:00:00,5365.8,KSI GOWOå∆,MA
Lech,Kaczmarek,LO/127231/2011,2011/10/22,3955.5000000000005,LOGISTYKA,False
ZOFIA,Paw≥owska,MA/634104/2010,2010-03-01 ,"4 770,56",MARKETING,NIE MA
Wac≥awa,Szewczyk,LO/232344/2010,2010/11/06,3041.55,LOGISTYKA,Fa≥sz
Mieczys≥awa,Krawczyk ,KS/500085/2014 ,2014-12-15 ,4753.9800000000005,KSI GOWOå∆ ,
Jolanta,walczak,LO/103946/2018,2018-10-15,5154.435,LOGISTYKA    ,True
Anna ,RUTKOWSKA,SP/491313/2010,2010-07-29  ,3174.0  ,SPRZEDAØ,Fa≥sz
beata,Piotrowska,CZ/840887/2009,2009-08-13,2961.42,CZYSTOå∆ ,Prawda
jadwiga,SzymaÒska,LO/506698/2018,2018-10-15,3280.5,LOGISTYKA,0
Franciszka,Koz≥owska,KA/377726/2010,2010-07-29,5016.73,KADRY,False
Edyta,Jaworska ,MA/567121/2017,2017-06-02,"5 890,720000000001",MARKETING,true
ILONA,Nowakowska,CZ/246190/2013,2013-06-13T00:00:00,2898.0,CZYSTOå∆,NIE MA
ludwika,sikora,SP/507892/2016,2016-09-25,3618.0,SPRZEDAØ,Nie
Zdzis≥aw,Witkowski,KA/785156/2014,2014/05/29,5398.650000000001,KADRY  ,FA£SZ  
Jerzy,,MA/703841/2009,2009-10-02,"4 590,256",MARKETING,PRAWDA
Przemys≥aw,laskowski,LO/446719/2017,2017-06-02,4159.35,LOGISTYKA ,Nie
Bogus≥awa,StÍpieÒ,CZ/957718/2015,2015-10-11,3158.2,CZYSTOå∆,nie ma
Julian,Zakrzewski,SP/762718/2018  ,2018-08-26,5215.650000000001  ,SPRZEDAØ,Prawda
Zdzis≥aw,Lewandowski,KS/622167/2013,2013-09-21,6904.0,KSI GOWOå∆,nie ma
Iwona,Paw≥owska  ,CZ/845068/2017,2017/12/19 ,3783.67,CZYSTOå∆ ,true
Micha≥,Szewczyk,CZ/672386/2011,2011-09-02T00:00:00,3681.7000000000003,CZYSTOå∆,PRAWDA
micha≥,Mazur,KS/711318/2012,2012/03/20,4637.6,KSI GOWOå∆ ,1
Stefania,Pawlak,ZA/793677/2013,2013-08-02,87700.25,ZARZ•D,TAK 
Julia,zajπc,IT/201779/2018,2018-07-07,5821.750000000001,IT ,True  
Wac≥awa,Michalak,KS/418810/2014,2014/10/26,5900.400000000001,KSI GOWOå∆,TAK
JULIA,Wiúniewska,LO/487585/2013,2013-06-13,"5 121,3195000000005",LOGISTYKA,MA
SABINA ,,KA/278258/2018,2018-10-15T00:00:00 ,5026.1849999999995,KADRY,nie
Helena,rutkowska ,CZ/420381/2017,2017-10-30,3222.0,CZYSTOå∆,nie
Ma≥gorzata,Sikora,MA/119549/2018,2018-08-26T00:00:00,5591.360000000001 ,MARKETING,False
sylwester,Jaworski,KS/992817/2015,2015-08-22,5220.0,KSI GOWOå∆,NIE MA
EUGENIUSZ,Czarnecki,MA/455943/2015,2015/02/03,"4 058,560000000001",MARKETING,Tak
Agata,Dudek,SP/334127/2017,2017/09/10,5441.700000000001,SPRZEDAØ,TAK
Alfred,Marciniak,MA/701612/2011,2011-04-05T00:00:00,4503.84,MARKETING,ma
Natalia,JasiÒska,KA/813313/2017,2017-04-13,4059.6050000000005,,ma
Izabela,Pawlak,LO/352217/2017,2017/01/03,3663.36,LOGISTYKA,False
Antonina,Wieczorek,SP/225861/2017,2017-12-19,4780.05,SPRZEDAØ,tak
FRANCISZEK,Pawlak,KA/129486/2015,2015-03-25T00:00:00,5899.982,KADRY,MA
Janina,Dπbrowska,KA/129908/2011,2011-05-25,3889.725,KADRY,NIE MA
Lucyna  ,PAWLAK,CZ/915292/2015,2015-02-03,"2 972,0",CZYSTOå∆,0
Gertruda,Dudek,IT/112930/2017,2017-02-22,7972.250000000001,IT,
Ma≥gorzata,Michalak,KS/107195/2012,2012-06-28,5370.860000000001,KSI GOWOå∆,Tak
JÛzef,KrÛl,SP/331277/2010,2010-09-17,5664.450000000001,SPRZEDAØ ,
,MARCINIAK,KA/549166/2016,2016-01-19 ,5197.150000000001,KADRY,nie ma
Emilia,BARAN,KA/305802/2010,2010-12-26,4892.575 ,KADRY,nie ma
Wanda  ,Pawlak  ,SP/612312/2016,2016-11-14,"5 082,75",SPRZEDAØ ,nie ma
Bogus≥aw,JAKUBOWSKI,LO/108408/2018  ,2018-03-29,4714.200000000001,LOGISTYKA,Fa≥sz
Rozalia,Koz≥owska,OC/781621/2013,2013/06/13,3555.2000000000003,OCHRONA,NIE
Hanna ,JAWORSKA,IT/816956/2013,2013/12/30,9182.25,IT,Tak
Janina,Pietrzak,KA/528320/2014,2014-07-18T00:00:00   ,"3 341,8",KADRY,false
Antonina,Dπbrowska,KA/589721/2017 ,2017-06-02,3299.9500000000003,KADRY,Fa≥sz
zbigniew,Kaümierczak,KS/651798/2011,2011/10/22,7095.000000000001,KSI GOWOå∆,Prawda
wies≥aw,maciejewski ,KA/754098/2015,2015-05-14,4090.2950000000005,KADRY,true
Dorota,Baran,SP/142659/2014,2014-07-18,4564.5,SPRZEDAØ,nie ma
Stefania,Szewczyk,CZ/725923/2015,2015-10-11,"2 212,0",CZYSTOå∆,NIE MA
Zdzis≥aw,MACIEJEWSKI,IT/877373/2012,2012/08/17,6968.500000000001 ,IT,tak
Romuald,Laskowski,LO/261467/2017,2017-12-19,4134.834000000001,LOGISTYKA,1
Lucjan,Szewczyk,KS/751427/2011,2011-10-22,"6 109,8",KSI GOWOå∆,0
Aleksander,Woüniak,KA/757165/2011,2011/09/02  ,"4 423,7",KADRY,0
Ireneusz,Wasilewski,OC/764050/2014,2014-10-26T00:00:00,3505.6120000000005,OCHRONA,Tak
Ludwik,,MA/193206/2015,2015-10-11,3922.3360000000007,MARKETING,tak
JÛzef,WÛjcik,CZ/692779/2018,2018-03-29,2577.0,CZYSTOå∆,0
Wac≥aw,Lewandowski,SP/912400/2012,2012/11/25,"4 224,0",SPRZEDAØ,0
Michalina ,Nowakowska,SP/194638/2009,2009-06-24,4870.5,SPRZEDAØ,nie
Zofia,Nowakowska,CZ/306609/2014,2014-02-18,2507.0,CZYSTOå∆,False
Magdalena,Pietrzak,CZ/379921/2013,2013-03-05,3145.5,CZYSTOå∆,False
Zbigniew,SZCZEPA—SKI,KS/737692/2017,2017/04/13 ,5035.6 ,KSI GOWOå∆,NIE MA
Stanis≥aw,Szulc,MA/727245/2018 ,2018-05-18T00:00:00,5333.280000000001,MARKETING ,nie
Ireneusz,Nowak,KA/314102/2015,2015/10/11  ,3423.9500000000003,KADRY,NIE
krystyna,PAWLAK,LO/580469/2015,2015-07-03,3843.8550000000005,LOGISTYKA,NIE MA  
Bernadeta,MAJEWSKA,CZ/413113/2017,2017-02-22,2564.1000000000004,CZYSTOå∆,True
S≥awomir,Kalinowski,OC/832506/2018,2018-07-07,2688.0150000000003  ,OCHRONA,True
Artur,ZieliÒski ,SP/196448/2011,2011-12-11T00:00:00,4788.6,SPRZEDAØ,Nie 
Antoni,Jankowski ,LO/761911/2017,2017/10/30,4554.900000000001,LOGISTYKA,false  
W£ADYS£AWA,Lewandowska,CZ/538287/2015,2015-07-03,"3 251,7",CZYSTOå∆,Nie
Zenon,Maciejewski,MA/731691/2009,2009-11-21,4489.760000000001,MARKETING,ma
Maciej,LEWANDOWSKI,MA/481528/2015,2015/11/30,4493.280000000001,,Prawda 
Bogdan,Ostrowski,SP/866218/2010,,"5 280,99",SPRZEDAØ,tak
Antoni ,Sawicki,CZ/476329/2018,2018-05-18,2565.0,CZYSTOå∆,Nie 
Bernard,makowski,CZ/398259/2014,2014-05-29,"3 776,3",CZYSTOå∆  ,ma
W≥adys≥awa,Nowak,KA/580613/2013,2013-03-05,4494.070000000001,KADRY,Fa≥sz
Micha≥,Zawadzki,CZ/866488/2012,2012-11-25,"2 530,0",CZYSTOå∆,NIE MA  
izabela,Woüniak,MA/345532/2010,2010-06-09,3617.6000000000004,MARKETING,NIE MA
,Nowakowski  ,LO/225101/2013,2013-08-02,3615.3,LOGISTYKA,false
krzysztof,Dudek,SP/289404/2012,2012-11-25 ,4316.25 ,SPRZEDAØ,nie
Julia,Ostrowska  ,KA/982943/2018,2018-02-07,4898.465,KADRY,nie
Marta,Nowicka,OC/455525/2011,2011-02-14,3357.5300000000007,OCHRONA,nie
w≥odzimierz  ,Jab≥oÒski,CZ/972971/2012,2012-01-30T00:00:00,"3 327,3",CZYSTOå∆,nie ma
,Lewandowska,SP/550959/2010,2010-03-01,4509.0,SPRZEDAØ,0
