first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Lucjan,Szczepański,KS/775558/2015,2015-03-26,6188.0 PLN,KSIĘGOWOŚĆ,NIE MA
Eugeniusz,Zieliński,KS/664119/2017,2017-02-23 ,5130.6 ZŁ,KSIĘGOWOŚĆ,Nie
Adela,ostrowska,KS/343504/2012,2012-01-31  ,"5 081,4 ZŁ",KSIĘGOWOŚĆ,nie
Bernard,Sadowski,KA/939172/2011  ,2011/12/12,4111.22 PLN,KADRY,nie
SYLWIA  ,Walczak,LO/839743/2016,2016-09-26T00:00:00,"4 269,645 ZŁ",LOGISTYKA,0
Wiktor,Kucharski,LO/227837/2014,2014-05-30T00:00:00,4500.900000000001 pln,LOGISTYKA,0
Bolesław,Wróblewski,cz/504980/2013,2013-09-22,3413.7 złotych,CZYSTOŚĆ,nie ma
Magdalena,Szewczyk,MA/463655/2017,2017-12-20,3570.4 pln,MARKETING,false
,Wójcik,MA/427701/2017,2017-01-04,"4 824,0 złotych",MARKETING,nie ma
Adela ,Nowicka,LO-453560-2013,2013-09-22,4147.200000000001 ZŁ ,LOGISTYKA,nie
Bolesław ,Gajewski,cz/740361/2014,2014-10-27T00:00:00,2504.8 PLN,CZYSTOŚĆ,false
Mariusz  ,Ziółkowski,CZ/315964/2015,2015-03-26,3576.1000000000004 PLN,CZYSTOŚĆ,tak
Karolina ,Stępień,sp/410522/2013,2013-11-11,"3 826,0200000000004 zł",SPRZEDAŻ,PRAWDA
BOGUSŁAW,Kamiński,OC-254162-2015,2015/03/26,3336.8500000000004 zł ,OCHRONA,0
zygmunt,Sadowski,MA-842760-2012,2012-03-21T00:00:00,4590.400000000001 pln,MARKETING,nie ma
Leon,Olszewski,SP_600113_2014,2014-05-30T00:00:00 ,3916.6499999999996 ZŁ   ,,false
Piotr,Bąk,KA/282200/2018 ,2018-02-08,3665.75 pln,KADRY,NIE
Mariusz,Walczak,lo/121165/2012,2012-10-07,3848.7150000000006 złotych,LOGISTYKA,NIE MA
Irena  ,Michalska,CZ.816164.2010  ,2010-04-21,2281.8 zł,CZYSTOŚĆ,0
Alojzy,Zakrzewski,LO/529297/2013,2013-03-06,4319.325000000001 ZŁ,LOGISTYKA,False
Izabela,Walczak,lo/467083/2013,2013-01-15,3278.1375000000003 PLN ,LOGISTYKA,True
Edward,wilk,ks/841796/2012,2012-08-18,6302.4 pln,KSIĘGOWOŚĆ,NIE MA
,Wojciechowska,CZ/859037/2012 ,2012/08/18,2736.6 pln ,CZYSTOŚĆ,0
Tomasz,Jankowski,MA/457059/2010,2010-09-18,4106.080000000001 zł,MARKETING,True
Maciej,Krajewski,MA/560881/2010,2010-04-21,"3 967,568000000001 złotych",MARKETING,true
Mirosław,ZALEWSKI,KA/430472/2013,2013-09-22,"3 670,2450000000003 ZŁ",KADRY  ,False
Artur,Kołodziej,MA/492927/2018,2018/02/08,4931.200000000001 zł,MARKETING,Nie
Czesław,makowski,SP/655912/2018,2018/10/16,3621.0 zł,SPRZEDAŻ,Nie 
justyna,Tomaszewska,MA/967202/2014,2014-04-10,4822.400000000001 zł  ,MARKETING,nie ma
Emilia,Jasińska,za/389727/2018,2018-10-16,76745.0 ZŁ,,nie  
Natalia,Witkowska,KS/100274/2010  ,2010-06-10,5266.8 pln,KSIĘGOWOŚĆ,1
Stefania,WOJCIECHOWSKA,LO/373533/2015,2015-10-12  ,"4 480,110000000001 PLN  ",LOGISTYKA,nie
Władysława,Adamczyk,lo/685056/2010,2010-07-30,3220.816500000001 PLN,LOGISTYKA,tak
FELIKS,NOWAK,CZ/297328/2015,,3446.3 złotych,CZYSTOŚĆ,MA
Irena,Jaworska,OC_813232_2010,2010-12-27,3775.2000000000003 pln  ,OCHRONA,FAŁSZ
Ewa,Król,KS/745446/2011,2011-12-12T00:00:00,6404.0 pln,KSIĘGOWOŚĆ,False
Stanisław,wysocki,CZ/250452/2010  ,2010-07-30,3366.0000000000005 PLN,CZYSTOŚĆ,tak
Bogumiła,Kozłowska,ka/996020/2011,2011-05-26T00:00:00,"4 860,955 PLN",KADRY,False
Ilona,Jabłońska ,lo/673380/2012,2012-03-21,3072.87 pln,LOGISTYKA,0
,Dudek,ka/487251/2015 ,2015-12-01T00:00:00,"5 217,61 ZŁ",KADRY,Nie 
Zdzisława,Jasińska,OC/391732/2016,2016-06-18,3014.2200000000003 ZŁ ,OCHRONA,nie ma  
Mirosław,Michalak,SP.663619.2009,2009-10-03,"5 092,725 PLN",SPRZEDAŻ,Prawda
katarzyna,wróbel,KS/932574/2017,2017-07-23,7249.000000000001 ZŁ,KSIĘGOWOŚĆ,PRAWDA
Czesława,Adamczyk,MA/274446/2015,2015-08-23,"3 920,0 zł",,false
Piotr,Zakrzewski,KS-805357-2009,2009-11-22T00:00:00,7034.060000000001 złotych,KSIĘGOWOŚĆ,TAK
Renata,Wojciechowska,LO/989240/2014,2014-09-07,3755.4300000000003 ZŁ,LOGISTYKA,false
Waldemar,Woźniak  ,KA.205124.2017,2017/01/04,"3 650,25 złotych",KADRY,
Lidia,KOZŁOWSKA   ,SP_296894_2009,2009/08/14,5181.0 zł ,SPRZEDAŻ,Fałsz
wiktor,Kowalczyk,sp/533131/2010,2010-12-27,4968.150000000001 pln,SPRZEDAŻ,TAK
rozalia,Jasińska,SP_732568_2013 ,2013-09-22,"4 350,450000000001 pln",SPRZEDAŻ,0
Ryszard ,Makowski,ks/529132/2010,2010-01-11,6792.9400000000005 zł,KSIĘGOWOŚĆ,Tak
Urszula,Nowak,SP/561338/2010,2010-09-18,"4 353,15 PLN",SPRZEDAŻ,False
Julian,Bąk,ma/656348/2017,2017-12-20 ,4288.240000000001 ZŁ ,MARKETING,MA
Henryk,Włodarczyk,CZ/555310/2014,2014-04-10,2384.0 PLN,CZYSTOŚĆ  ,Nie
Cecylia,kaczmarek,MA/596801/2016,2016-01-20,4171.2 ZŁ,MARKETING,NIE MA
MIECZYSŁAW,Adamczyk,CZ/867737/2014,,"2 884,0 ZŁ",CZYSTOŚĆ,nie ma
Alojzy,Wilk,it/778813/2010,2010-09-18,6695.0 ZŁ,IT,0
MAGDALENA  ,Rutkowska,SP.895984.2015,2015/10/12,4394.115 ZŁ,SPRZEDAŻ,Tak
wojciech,Sobczak,MA_499336_2009,2009-06-25T00:00:00,4113.4400000000005 pln,MARKETING,FAŁSZ
Jan,Głowacki,sp/908881/2017,2017-02-23T00:00:00,4714.05 PLN,SPRZEDAŻ,ma
Wioletta,Malinowska,sp/726172/2009,2009-10-03,3752.25 ZŁ,SPRZEDAŻ ,NIE
Zygmunt,laskowski,lo/147132/2013,2013/03/06,4183.650000000001 złotych,LOGISTYKA,0
Ludwik,Majewski,sp/704050/2009  ,2009-08-14,4518.0 pln,SPRZEDAŻ,FAŁSZ
MAREK,Walczak ,LO/201601/2010,2010/12/27,"3 003,6150000000002 zł",LOGISTYKA,nie ma
Marian,Szymański,lo/681029/2009,2009/08/14,4116.150000000001 złotych,LOGISTYKA,0
Bogusław,tomaszewski,OC_914898_2012,2012/03/21,3641.6600000000003 ZŁ,OCHRONA,Fałsz
edyta,DUDEK,lo/503361/2014,2014-04-10,4414.7565 złotych,LOGISTYKA,true 
Edmund,Wróblewski,CZ/740744/2015,2015-12-01T00:00:00,3081.9 złotych,CZYSTOŚĆ,0
Paweł,Król,SP.520024.2016,2016-03-10,5743.650000000001 ZŁ,SPRZEDAŻ,Tak
Eugeniusz,Sokołowski,CZ/711546/2012,2012-03-21,2981.4 złotych,CZYSTOŚĆ,nie
Zdzisław,Maciejewski,KA/939818/2013,2013/04/25 ,"4 338,45 pln",KADRY,nie ma
Michalina ,Wiśniewska    ,lo/361777/2013,2013-09-22  ,4310.212500000001 zł,LOGISTYKA,PRAWDA 
Dorota,kozłowska,LO/669193/2013,2013/01/15,3563.595 pln,LOGISTYKA,FAŁSZ
izabela,Kowalczyk,oc/217498/2015,2015-02-04,3081.8700000000003 PLN,OCHRONA,Tak
Jarosław,Ziółkowski,OC_166170_2011,2011-05-26,3364.1300000000006 pln ,OCHRONA,nie ma
Feliks,Nowakowski,sp/623478/2016,2016-01-20T00:00:00,4853.804999999999 ZŁ,SPRZEDAŻ,ma
Jarosław,Rutkowski,ma/122306/2014,2014-07-19,3944.1600000000008 złotych,MARKETING,Prawda
,Nowakowska,MA/629343/2014,2014-05-30,"4 486,400000000001 ZŁ",MARKETING,
Stanisława,TOMASZEWSKA  ,ma/711523/2010,2010-11-07,"4 267,2 ZŁ ",MARKETING,FAŁSZ
Alfred,Jabłoński,ZA/679867/2009,2009-11-22,75589.25 PLN,ZARZĄD,Prawda
Józef,WIECZOREK,ks/566879/2012,2012-06-29,4524.2 zł,KSIĘGOWOŚĆ,False
Weronika,Nowakowska,KA/961578/2016,2016-06-18,4702.901500000001 ZŁ,KADRY,True
Irena ,Kozłowska,LO_203443_2013,2013-12-31,3191.2650000000003 pln ,LOGISTYKA,MA
irena,Jaworska,MA/634559/2010 ,2010/09/18,4492.8 pln  ,MARKETING,nie ma 
Ilona,Kwiatkowska,ma/506257/2010,2010-03-02T00:00:00,3453.2800000000007 zł,MARKETING,nie
Mariola,Woźniak,ks/622253/2012,2012/06/29,4534.0 PLN,KSIĘGOWOŚĆ,
Franciszek,Laskowski,CZ/761389/2012,2012/11/26,3221.0 ZŁ,CZYSTOŚĆ ,NIE
Marcin,Kubiak,MA/249016/2016,2016-06-18,4976.4800000000005 PLN,MARKETING,0
Dariusz,Krupa,KA/919913/2011,2011-05-26,4494.6900000000005 ZŁ,KADRY,Fałsz
Ryszard,Kamiński ,KS/151364/2017,2017-10-31,"6 756,0 złotych",KSIĘGOWOŚĆ ,
czesław,jabłoński,ka/118484/2013,2013-06-14,3718.7755 zł,KADRY,True
Zofia,Kozłowska,MA/147442/2017,2017-02-23,"4 053,2800000000007 zł",MARKETING,1
Tadeusz ,Jankowski,OC/126944/2012,2012-05-10,2406.8 złotych  ,,NIE
Bolesław,Zawadzki,KA-235234-2017,2017-04-14,3278.25 PLN,KADRY,0  
Katarzyna,Olszewska,MA/614076/2018,2018-10-16,4031.632 PLN,MARKETING,1
Wanda,Grabowska,CZ.618588.2010,2010/12/27,3216.0 pln,CZYSTOŚĆ,False
Janina,piotrowska,KA/187265/2016,2016/08/07,4944.5 ZŁ,KADRY,False
Franciszek,Szewczyk,MA/979132/2012,2012-11-26,4742.400000000001 zł,MARKETING,NIE
Włodzimierz ,Majewski,lo/859226/2010,2010-01-11,4425.3 PLN,LOGISTYKA,nie
Elżbieta,Majewska,LO/278192/2013,2013-12-31,3231.7650000000003 złotych ,LOGISTYKA,Nie
Franciszka,dudek,LO/853498/2012,2012/11/26,3685.5000000000005 PLN,LOGISTYKA,nie ma 
Katarzyna,Ostrowska,LO/392335/2012,2012-11-26,3869.1000000000004 ZŁ ,LOGISTYKA,FAŁSZ
GERTRUDA,Olszewska,ma/939692/2016,2016-04-29T00:00:00,3461.6000000000004 złotych,MARKETING,nie ma
Tadeusz,Pawłowski,KA/358986/2015,2015-02-04T00:00:00,"4 919,08 ZŁ",KADRY,False
ELEONORA,TOMASZEWSKA,CZ/388694/2009,2009-11-22,2562.0 zł ,CZYSTOŚĆ,NIE MA
RAFAŁ,Marciniak,KA/721979/2011,2011/12/12,3971.1 PLN,KADRY,False
Wiesław,Kamiński ,SP/249674/2015,2015/12/01,"3 955,3500000000004 zł",SPRZEDAŻ  ,NIE
Michał,Grabowski,KS/843286/2010,2010/04/21,"4 637,6 pln",KSIĘGOWOŚĆ,TAK 
Grzegorz,Lewandowski,cz/121638/2017,2017/02/23,3294.5 PLN,CZYSTOŚĆ,false
Izabela,Kaczmarek,sp/812681/2010 ,2010/12/27,3445.5 ZŁ,SPRZEDAŻ,False
Zenon,Włodarczyk,lo/364272/2014 ,2014-05-30,3763.8 zł,LOGISTYKA,FAŁSZ
Lech,Szczepański ,MA/807377/2015,2015-10-12,4596.8 złotych,MARKETING,Nie
MIROSŁAW,Wróblewski,LO/965538/2015,2015-12-01,"4 646,700000000001 pln",LOGISTYKA,FAŁSZ
Eleonora,Nowakowska,KS/138467/2012,2012/06/29,"4 767,400000000001 pln",KSIĘGOWOŚĆ,tak 
,Nowak,MA_644563_2018 ,2018-03-30,5316.8 PLN,MARKETING,nie ma
henryk,Nowicki,lo/266093/2013,2013-08-03,2984.31 złotych,LOGISTYKA,False
Aniela ,Michalska,ks/766242/2010,2010/01/11,"6 757,3 złotych",KSIĘGOWOŚĆ,true
DANIELA,Rutkowska,SP-147324-2014,2014-12-16,5029.200000000001 ZŁ  ,SPRZEDAŻ,FAŁSZ 
,Dąbrowska,KS/467235/2016,2016-09-26,6591.4 PLN,KSIĘGOWOŚĆ,False
Bożena, ,KA.920660.2017,2017-10-31,"4 779,115000000001 zł",KADRY,ma
Robert,Piotrowski,LO/178054/2017,2017-04-14,4904.955000000001 zł ,LOGISTYKA,Prawda
Dariusz,Dąbrowski,SP_295742_2010,2010-03-02T00:00:00,5459.025000000001 pln ,SPRZEDAŻ,Prawda
,górski,SP/401182/2012,2012-01-31T00:00:00 ,4165.950000000001 zł,SPRZEDAŻ,NIE
Jan,Ostrowski,oc/756619/2010,2010-03-02,3845.82 złotych,OCHRONA,nie 
Bogdan,CZARNECKI,LO_239649_2013,2013/09/22,"3 918,7665000000006 złotych",LOGISTYKA,true
Cezary,Wiśniewski,SP/322839/2014,2014-02-19,4089.2999999999997 zł,SPRZEDAŻ,NIE
Jerzy,Wróblewski,MA/859254/2011,2011/05/26,4232.0 ZŁ,MARKETING,nie ma
ALICJA,Kaczmarek ,sp/976410/2018,2018-02-08,4055.7000000000003 ZŁ,SPRZEDAŻ,Tak
Mieczysław,sokołowski,CZ.797174.2012,,3230.0 PLN,,nie ma
Mariusz ,rutkowski,LO/482783/2017,2017-07-23,3938.22 zł,LOGISTYKA,Fałsz
Mieczysław,Chmielewski,KA/625564/2013,2013-04-25 ,5119.650000000001 zł,KADRY,false
Leszek,Ziółkowski,cz/357223/2010,2010/09/18,2137.4 ZŁ,CZYSTOŚĆ,NIE MA
Julia  ,Jaworska,CZ/252076/2013,2013/03/06,"3 125,0 zł ",CZYSTOŚĆ,Fałsz
Michalina,Szewczyk,KA/721490/2014,2014-04-10,3638.16 zł ,KADRY,FAŁSZ
Alfred,JANKOWSKI,SP/829744/2016,2016-08-07,4534.5 PLN,SPRZEDAŻ,NIE MA
JÓZEFA,Michalska,lo/229750/2016,2016-11-15,4469.850000000001 ZŁ,LOGISTYKA,Prawda
Kazimiera,adamczyk,SP/639914/2011,2011/09/03,3292.5 złotych,SPRZEDAŻ,false
Rafał,adamczyk,SP/383181/2010,2010/03/02,3818.1000000000004 pln,SPRZEDAŻ,TAK
AGNIESZKA,Woźniak,KS_850485_2016,2016-09-26,5880.0 PLN,KSIĘGOWOŚĆ,0
Stefania,Pawłowska,SP/691564/2017,2017-07-23,"3 319,5 ZŁ",SPRZEDAŻ,0
,Pawłowska  ,ks/603227/2015,2015-08-23,7293.000000000001 pln,KSIĘGOWOŚĆ  ,MA 
Leokadia,Wróbel,IT.339058.2010  ,2010-01-11,"8 059,75 złotych",IT,False
Sławomir,Rutkowski,MA/226150/2013,2013/01/15,5238.400000000001 ZŁ,MARKETING,0  
Eleonora,Zając,SP/447266/2016 ,2016-03-10T00:00:00,3599.5499999999997 PLN  ,SPRZEDAŻ,Fałsz
Józefa,Woźniak,KA/940159/2012,2012-08-18T00:00:00 ,4544.6 złotych,KADRY,false
Arkadiusz,ZIELIŃSKI,MA/888285/2015,2015-07-04T00:00:00,4209.92 złotych,MARKETING  ,False
Arkadiusz,Dudek,MA/803746/2015 ,2015-05-15,3840.3200000000006 ZŁ,MARKETING,MA
LUCJAN,Kwiatkowski,SP/795846/2013,2013-03-06,"4 446,450000000001 zł",SPRZEDAŻ,FAŁSZ
Zenon  ,,KS_272408_2015,2015-12-01,5101.8 PLN,KSIĘGOWOŚĆ ,MA
Bronisława,Mazur,SP/144551/2014,2014-12-16,"4 581,0 zł ",SPRZEDAŻ,Fałsz
Sławomir,Kaczmarek,MA/991165/2015,  ,4052.16 ZŁ,MARKETING,nie
WIESŁAW,Pawłowski ,KA_794257_2013,2013-06-14T00:00:00,"5 230,320000000001 ZŁ",KADRY,0  
Jadwiga,Pawłowska,lo/209711/2015,2015-07-04,"4 303,395 złotych",,NIE MA
Jan ,jabłoński  ,IT/158765/2014  ,2014-07-19T00:00:00,5383.25 złotych  ,IT,nie ma  
Ilona,Ostrowska ,LO/739371/2012,2012/11/26,4714.200000000001 zł,LOGISTYKA,Fałsz
Renata ,Michalak,OC/378030/2012,,2964.5000000000005 PLN,OCHRONA ,false
Mieczysław,Laskowski,KS/909334/2010,2010-01-11  ,6114.02 zł,KSIĘGOWOŚĆ,MA
Maria,Pawlak,ma/192219/2016,2016-01-20,4990.400000000001 ZŁ,MARKETING  ,Nie 
Wacław,CZARNECKI,KS/482478/2016,2016-09-26T00:00:00,6430.0 PLN,KSIĘGOWOŚĆ,nie
Wojciech,Górski,KA/252885/2010,2010/06/10,4909.47 ZŁ,KADRY,FAŁSZ
Władysław,Malinowski,KS/572024/2014,2014-09-07T00:00:00,7618.6 złotych ,KSIĘGOWOŚĆ ,true
Zbigniew,laskowski,CZ/299136/2013,2013-09-22,2746.0 ZŁ ,CZYSTOŚĆ,nie ma  
Eugeniusz,Szczepański,SP-259911-2011,2011-07-15,4848.69 ZŁ,SPRZEDAŻ ,Tak
Roman,Szymański,ma/505503/2017,2017/02/23,4609.4400000000005 PLN,MARKETING,Fałsz
 ,Pawłowski,SP/152119/2015,2015/02/04,5227.65 zł,SPRZEDAŻ,NIE
Jarosław,Krawczyk,CZ/712643/2018,2018-03-30,2621.96 pln ,CZYSTOŚĆ,PRAWDA
Wiesława,mazur,ma/550515/2011,2011-02-15,4634.88 ZŁ,MARKETING,FAŁSZ
Franciszek ,Urbański ,MA/124969/2010,2010-03-02,3687.0400000000004 pln,MARKETING,false
Kazimierz,Dudek,oc/588793/2012,2012-06-29,3285.1500000000005 ZŁ,OCHRONA,PRAWDA
Kazimierz,ZALEWSKI,CZ_753622_2013,2013-11-11T00:00:00,3008.0 złotych,CZYSTOŚĆ,0
CZESŁAW,Sadowski,ma/465349/2017,2017/09/11,5699.584000000001 złotych,MARKETING  ,TAK
edyta,Baran,ka/312265/2014,2014/12/16,3613.236 pln,KADRY,tak
ryszard,DĄBROWSKI,MA/476122/2017,2017-04-14,6112.4800000000005 ZŁ,MARKETING,1
Ireneusz,Jasiński,MA/463155/2013,2013/04/25,"4 035,2000000000003 ZŁ",MARKETING,NIE
Sławomir  ,Kowalski,KA-475465-2017,2017-01-04,4076.6550000000007 zł,KADRY,Tak
Edward ,Laskowski,SP/753818/2014 ,2014-07-19,4257.0 złotych,SPRZEDAŻ,PRAWDA
BOGUMIŁA,Grabowska,LO/196259/2018,2018-05-19,3654.4500000000003 zł,LOGISTYKA ,
Mirosław,Głowacki,ks/520430/2012,2012-03-21,5811.74 złotych,KSIĘGOWOŚĆ,MA
IRENEUSZ,Wójcik,KA/892786/2011 ,2011/09/03,5201.8 zł,KADRY,false
Elżbieta,Rutkowska,KA/471464/2012,2012-10-07,3814.55 zł,KADRY,
BERNARD,kalinowski,ka/605637/2018,2018/10/16,5757.785000000001 pln,KADRY,Tak
mieczysława,Jabłońska,ks/963492/2011,2011-05-26 ,6217.8 zł,KSIĘGOWOŚĆ,FAŁSZ
Romuald,,OC/111570/2009,2009/11/22,2546.3240000000005 złotych,OCHRONA,True
,Michalak,SP/292889/2010,2010-12-27,"4 037,715 złotych",SPRZEDAŻ,Prawda
Elżbieta,Sikora,ka/643437/2017,2017/01/04,"4 868,55 ZŁ",KADRY  ,0
